stop_id,stop_name,stop_lat,stop_lon
252,Lusaka Bypass 1,-15.415217,28.202809
253,Chisome Hospital,-15.41950961,28.20882313
254,Mumbwa Rd - Lusaka Bypass,-15.42025734,28.20436868
255,Y Road Lodge,-15.41991642,28.21512662
256,Destiny Life Embassy,-15.44795707,28.22362856
257,First Transformer - Satwant Rd,-15.44652634,28.22315673
258,Lukem School,-15.4439861,28.22227864
259,Villa Park,-15.43992765,28.22096442
260,Garden House,-15.42049146,28.22393971
261,Garden House,-15.42056575,28.22398169
262,SGC Filling Station - Mumbwa Rd,-15.42105749,28.23101786
263,SGC Filling Station - Mumbwa Rd,-15.42099062,28.23106288
264,Engen - Mumbwe Rd,-15.42140523,28.23712333
265,Engen - Mumbwe Rd,-15.42147599,28.23710832
266,Mbasela,-15.42678275,28.24032919
267,Police Road,-15.42508494,28.24083662
268,Dovio Business Center - Mbasela Rd,-15.42322525,28.24134067
269,Meru Filling Station - Mumbwa Rd,-15.42124762,28.24366834
270,Meru Filling Station - Mumbwa Rd,-15.42131206,28.24367613
271,Mumbwa Rd - First Rd,-15.42114391,28.24561297
272,Mumbwa Rd - First Rd,-15.42119772,28.24550332
273,Twin Park,-15.39963057,28.23472029
274,Queen Manzima Academy,-15.40273466,28.23501359
275,High Gate - Twin Park,-15.40422724,28.23467821
276,Paka Tower - Twin Park,-15.406325,28.234715
277,260 Brands,-15.41063949,28.23905624
278,Pama Robot,-15.38478371,28.22299767
279,Zesco - Twin Park,-15.41580737,28.23851431
280,Zeko - Mungwi Rd,-15.38832097,28.23366028
281,Zeko - Mungwi Rd,-15.38828047,28.23366096
282,Andrich Garage,-15.3658969,28.21689407
283,Godfrey Miyanda PA ,-15.4637611,28.3294883
284,Pa Katemba,-15.36756974,28.21845417
285,Emilys Complex,-15.366513,28.218227
286,Pama Flats,-15.37192815,28.21959856
287,Cestone - Kasupe Rd,-15.37387042,28.22010205
288,RDF Taxi Rank,-15.45041,28.32779
289,Superior - Mumbwa Rd,-15.41934727,28.25602934
290,Superior - Mumbwa Rd,-15.41939885,28.25606144
291,Melenium - Kanyama,-15.42447245,28.2645095
292,Total Energies - Mumbwa Rd,-15.41684098,28.26532183
293,Total Energies - Mumbwa Rd,-15.41690411,28.26533073
294,Shifwankula,-15.32425618,28.23527145
295,Mr Nice Pub,-15.32024566,28.24916271
296,Pama Camera,-15.317474,28.254315
297,Chomz View Lodge,-15.31347167,28.25669148
298,Shifwankula School,-15.31133595,28.25978406
299,Car Wash - Shifwankula,-15.31205,28.263343
300,Complex - Shifwankula,-15.31339483,28.26529958
301,Zanimuone,-15.33155109,28.24476461
302,Kingston School - Zanimuone,-15.33187931,28.24557014
303,Zee World Lodge,-15.33196683,28.24805856
304,Minimart - Zanimuone,-15.332098,28.250914
305,Transformer - Zanimuone,-15.33225892,28.25221768
306,Melpark - Zanimuone,-15.33245472,28.25416239
307,Chinthemba,-15.33352815,28.25698981
308,Future Mat Christian Academy,-15.33490683,28.25918829
309,Ivas Lounge,-15.312996,28.268447
310,Zanga Zanga Shopping Centre,-15.31479616,28.27440254
311,City University of Science and Technology,-15.33212123,28.27127634
312,Presame,-15.332373,28.275815
313,Presame,-15.33187323,28.27598541
314,Presame,-15.33187159,28.27590169
315,Kabangwe Police Post,-15.3292366,28.27572239
316,Kabangwe Police Post,-15.32926584,28.27579978
317,Roma - Great North Rd,-15.32594382,28.27549343
318,Roma - Great North Rd,-15.32591828,28.27559456
319,Ngwerere Roundabout,-15.3197946,28.27506585
320,Ngwerere Roundabout,-15.31945233,28.27516328
321,Twikatane Roundabout,-15.38537193,28.227771
322,Twikatane Roundabout,-15.3854545,28.22774485
323,Twikatane Roundabout,-15.38510739,28.22838261
324,Twikatane Mall,-15.38357144,28.22890662
325,Kachulu,-15.38145552,28.22962755
326,Mwembeshi Police Post,-15.37732957,28.2316237
327,Muchinga Ground,-15.37156362,28.23460543
328,Soft Center,-15.36929627,28.23575788
329,Zingalume,-15.37319689,28.23376082
330,Pa Police - Zingalume,-15.37939704,28.23055456
331,Muchinga School,-15.37549841,28.23257065
332,Paka Wire,-15.36069564,28.22252684
333,Abudabi Club,-15.36227269,28.23000186
334,Eden - Zingalume,-15.36286464,28.23267083
335,Eden - Zingalume,-15.36307783,28.23317931
336,Church - Eden,-15.36430468,28.2354216
337,King George,-15.365638,28.237562
338,Twikatane Ground,-15.36266597,28.23907931
339,St Johns - Chunga,-15.35841928,28.24116565
340,Daina Kaimba - Zingalume,-15.35397901,28.24340837
341,Daina Kaimba - Zingalume,-15.35412842,28.24478553
344,Chunga Community Police Post,-15.358037,28.2521
345,Chunga Pachi Tv,-15.361017,28.25038
346,Zambeef - Chunga,-15.36196374,28.2521539
347,Monezi School,-15.36295954,28.25398205
348,Pathways School,-15.36413835,28.25561387
349,Hillside Primary School,-15.36728591,28.25681553
350,Salvation Army - Chingwere,-15.37186023,28.25596764
351,James Daka,-15.372503,28.259013
352,Muchinga Police Station,-15.37298412,28.26158726
353,Matero Level One Hospital,-15.37361029,28.26418053
354,Zanimuone,-15.34113968,28.27637678
355,Zanimuone,-15.341172,28.276523
356,Zanimuone,-15.34104604,28.27662064
357,Chingwele Turnoff,-15.3481337,28.27685272
358,Chingwele Turnoff,-15.34810091,28.27699941
359,Chingwele Turnoff,-15.34809368,28.27709008
360,Yalelo,-15.35270655,28.27683897
361,Yalelo,-15.35272188,28.27700548
362,Yalelo,-15.35260637,28.27711505
363,SOS Roundabout,-15.35474973,28.27690615
364,SOS Roundabout,-15.354511,28.277051
365,SOS Roundabout,-15.35490379,28.27770563
366,Ibex Hill,-15.40036232,28.39451553
367,Football Ground - Ibex,-15.40403134,28.39428411
